State,EV_2021,Total Sales_2021,EV Share_2021,EV_2020,Total Sales_2020,EV Share_2020,EV_2019,Total Sales_2019,EV Share_2019,EV_2018,Total Sales_2018,EV Share_2018,EV_2017,Total Sales_2017,EV Share_2017,EV_2016,Total Sales_2016,EV Share_2016
Pennsylvania,26800.0,10226200.0,0.262071932878293,17500.0,10156400.0,0.17230514749320625,12000.0,10002700.0,0.11996760874563868,8000.0,9925500.0,0.08060047352778198,4400.0,9934600.0,0.04428965433937954,3200.0,9894000.0,0.03234283404083283
Rhode Island,2500.0,875300.0,0.2856163601051068,1600.0,875600.0,0.1827318410232983,1100.0,878800.0,0.1251706873008648,700.0,875600.0,0.07994518044769301,400.0,853300.0,0.046876831126215865,300.0,849100.0,0.03533152749970557
South Carolina,7400.0,4819400.0,0.15354608457484334,4400.0,4716200.0,0.0932954497264747,3000.0,4632500.0,0.06475984889368591,2000.0,4542800.0,0.04402571101523289,1200.0,4463300.0,0.026885936414760378,800.0,4348900.0,0.018395456322288395
South Dakota,700.0,909400.0,0.07697382889817463,400.0,905500.0,0.04417448923246825,300.0,895200.0,0.03351206434316354,200.0,898200.0,0.0222667557336896,100.0,878800.0,0.01137915339098771,100.0,847800.0,0.01179523472517103
Tennessee,12200.0,6194600.0,0.19694572692344944,7800.0,6135900.0,0.12712071578741505,5700.0,6036500.0,0.09442557773544272,3900.0,5876200.0,0.06636942241584698,2900.0,5557400.0,0.052182675351783205,2600.0,5426900.0,0.047909487921281024
Texas,80900.0,24582800.0,0.3290918853832761,52200.0,24345300.0,0.21441510270976327,38400.0,23913300.0,0.16058009559533815,24500.0,22797200.0,0.10746933833979612,16100.0,22350100.0,0.07203547187708333,11900.0,22093600.0,0.05386175181953145
Utah,16500.0,2910300.0,0.5669518606329245,11200.0,2844000.0,0.39381153305203936,8000.0,2771400.0,0.28866276971927546,5600.0,2668500.0,0.20985572418961965,3600.0,2542500.0,0.1415929203539823,2500.0,2443500.0,0.1023122570083896
Vermont,3400.0,597000.0,0.5695142378559463,2200.0,598400.0,0.36764705882352944,1700.0,605100.0,0.280945298297802,1100.0,606500.0,0.18136850783182193,700.0,608100.0,0.1151126459463904,300.0,605000.0,0.049586776859504134
Virginia,30700.0,7580900.0,0.4049651096835468,20500.0,7650400.0,0.26795984523685035,15000.0,7721300.0,0.19426780464429566,9900.0,7638700.0,0.12960320473378978,5100.0,7579300.0,0.06728853588062222,3100.0,7338300.0,0.04224411648474442
Washington,66800.0,6826100.0,0.9785968561843512,50500.0,6736800.0,0.7496140600878756,40400.0,6599100.0,0.6122046945795638,30200.0,6533900.0,0.4622048087665866,21000.0,6425800.0,0.32680755703569986,14900.0,6094500.0,0.24448273033062598
West Virginia,1000.0,1474800.0,0.06780580417683754,600.0,1468500.0,0.04085801838610827,400.0,1482900.0,0.026974172230089688,200.0,1498700.0,0.013344898912390738,100.0,1510800.0,0.006619009796134498,100.0,1502800.0,0.006654245408570668
Wisconsin,9300.0,5490000.0,0.16939890710382513,6300.0,5528900.0,0.11394671634502342,4700.0,5518600.0,0.0851665277425434,3700.0,5465100.0,0.06770232932608736,2800.0,5425000.0,0.05161290322580645,2600.0,5315400.0,0.04891447492192497
Wyoming,500.0,627700.0,0.07965588657001753,300.0,619600.0,0.04841833440929632,200.0,611700.0,0.032695765898316166,200.0,603200.0,0.033156498673740056,100.0,597200.0,0.016744809109176157,100.0,591400.0,0.016909029421711193
United States,1454400.0,279042000.0,0.5212118605801277,1018900.0,275813000.0,0.36941696004176744,783600.0,273857300.0,0.28613442110179277,572600.0,269537500.0,0.21243797245281268,377100.0,265563700.0,0.14199982904290007,280300.0,259726700.0,0.10792113402280167
