Model Full,Displ,Cyl,Trans,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Make,Model
TOYOTA Highlander,2.4,4,SemiAuto-8,4WD,Gasoline,small SUV,7,21,28,24,5,No,371,TOYOTA,Highlander
TOYOTA Highlander Hybrid,2.5,4,SCV-6,2WD,Gasoline,small SUV,7,36,35,36,7,Yes,245,TOYOTA,Highlander Hybrid
TOYOTA Highlander Hybrid,2.5,4,SCV-6,4WD,Gasoline,standard SUV,7,35,35,35,7,Yes,254,TOYOTA,Highlander Hybrid
TOYOTA Highlander Hybrid LTD/PLAT,2.5,4,SCV-6,4WD,Gasoline,standard SUV,7,35,34,35,7,Yes,253,TOYOTA,Highlander Hybrid LTD/PLAT
TOYOTA Prius,2,4,CVT,2WD,Gasoline,midsize car,7,57,56,57,9,Yes,155,TOYOTA,Prius
TOYOTA Prius,2,4,CVT,4WD,Gasoline,midsize car,7,53,54,54,9,Yes,163,TOYOTA,Prius
TOYOTA Prius XLE/LTD,2,4,CVT,2WD,Gasoline,midsize car,7,52,52,52,9,Yes,169,TOYOTA,Prius XLE/LTD
TOYOTA Prius XLE/LTD,2,4,CVT,4WD,Gasoline,midsize car,7,49,50,49,8,Yes,179,TOYOTA,Prius XLE/LTD
TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,7,27,34,30,6,No,292,TOYOTA,RAV4
TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,7,27,35,30,6,No,296,TOYOTA,RAV4
TOYOTA RAV4,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,6,25,33,28,6,No,319,TOYOTA,RAV4
TOYOTA RAV4,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,6,27,33,29,6,No,301,TOYOTA,RAV4
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,small SUV,7,41,38,40,7,Yes,223,TOYOTA,RAV4 Hybrid
TOYOTA RAV4 Hybrid Woodland Edition,2.5,4,SCV-6,4WD,Gasoline,small SUV,7,38,35,37,7,Yes,240,TOYOTA,RAV4 Hybrid Woodland Edition
TOYOTA RAV4 LE,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,6,27,34,30,6,No,296,TOYOTA,RAV4 LE
TOYOTA RAV4 PRIME,2.5,4,SCV-6,4WD,Gasoline/Electricity,small SUV,7,40/105,36/84,38/94,10,Yes,72,TOYOTA,RAV4 PRIME
TOYOTA RAV4 TRD Offroad,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,6,25,32,28,6,No,323,TOYOTA,RAV4 TRD Offroad
TOYOTA Sequoia,3.4,6,SemiAuto-10,2WD,Gasoline,standard SUV,5,21,24,22,5,No,395,TOYOTA,Sequoia
