Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (MPG),Fuel Consumption Hwy (MPG),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/m)
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,22.190094339622643,32.66875,9.1,31,336.35206
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,25.56684782608696,36.75234375,7.9,36,342.78942
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,19.76596638655462,29.401875,10.1,28,373.36688
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,18.8172,27.35058139534884,10.7,26,395.89764
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,16.334375,24.501562500000002,12.2,23,452.22454
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,19.76596638655462,29.401875,10.1,28,373.36688
BMW,650i xDRIVE CABRIOLET,COMPACT,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,16.334375,24.501562500000002,12.2,23,452.22454
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,18.8172,27.35058139534884,10.7,26,395.89764
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,12.578342245989305,20.453478260869566,15.5,18,572.92504
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,25.56684782608696,33.12887323943662,8.3,34,307.38394
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,22.40142857142857,29.77405063291139,9.3,30,344.39876
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,22.40142857142857,30.94934210526316,9.2,31,341.18008
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.681000000000001,24.001530612244895,12.7,22,469.92728
BMW,M5,MID-SIZE,4.4,8,AM7,Z,13.596242774566473,20.453478260869566,14.7,19,543.95692
BMW,M5,MID-SIZE,4.4,8,M6,Z,14.519444444444446,21.579357798165137,13.8,20,510.16078
BMW,M6,COMPACT,4.4,8,AM7,Z,13.596242774566473,20.453478260869566,14.7,19,543.95692
BMW,M6,COMPACT,4.4,8,M6,Z,14.519444444444446,21.579357798165137,13.8,20,510.16078
BMW,M6 CABRIOLET,COMPACT,4.4,8,AM7,Z,13.596242774566473,20.453478260869566,14.7,19,543.95692
BMW,M6 CABRIOLET,COMPACT,4.4,8,M6,Z,14.519444444444446,21.579357798165137,13.8,20,510.16078
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,13.596242774566473,20.453478260869566,14.7,19,543.95692
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,14.519444444444446,21.579357798165137,13.8,20,510.16078
BMW,X1 xDRIVE28i,SUV,2.0,4,A8,Z,22.190094339622643,32.66875,9.1,31,336.35206
BMW,X1 xDRIVE35i,SUV,3.0,6,A6,Z,17.819318181818183,26.42865168539326,11.3,25,418.4284
BMW,X3 xDRIVE28i,SUV,2.0,4,A8,Z,21.001339285714288,27.67235294117647,10.0,28,370.1482
BMW,X3 xDRIVE35i,SUV,3.0,6,A8,Z,18.667857142857144,25.8478021978022,11.0,26,407.16302
BMW,X5 xDRIVE35i,SUV,3.0,6,A8,Z,18.233720930232558,26.72897727272727,11.1,25,410.3817
BMW,X5 xDRIVE50i,SUV,4.4,8,A8,Z,14.430368098159509,21.579357798165137,13.9,20,514.9888
BMW,X6 M,SUV,4.4,8,A6,Z,12.995303867403313,17.168978102189783,16.1,18,595.4558
BMW,X6 xDRIVE35i,SUV,3.0,6,A8,Z,17.295220588235296,24.001530612244895,11.9,24,440.95916
BMW,X6 xDRIVE50i,SUV,4.4,8,A8,Z,14.342378048780489,20.815486725663717,14.1,20,521.42616
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,21.779166666666665,33.12887323943662,9.1,31,336.35206
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,22.61682692307692,35.10671641791045,8.7,32,321.868
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,17.168978102189783,23.28861386138614,12.1,23,447.39652
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,18.520866141732284,26.135,11.0,26,407.16302
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,17.168978102189783,23.28861386138614,12.1,23,447.39652
BUICK,ENCLAVE,SUV,3.6,6,A6,X,16.448601398601397,23.759090909090908,12.3,23,455.44322
BUICK,ENCLAVE AWD,SUV,3.6,6,A6,X,16.110616438356164,23.06029411764706,12.6,22,466.7086
BUICK,ENCORE,SUV,1.4,4,AS6,X,24.759473684210526,32.66875,8.5,33,315.43064
BUICK,ENCORE AWD,SUV,1.4,4,AS6,X,23.06029411764706,29.401875,9.2,31,341.18008
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,17.168978102189783,27.036206896551725,11.5,25,424.86576
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,12.78342391304348,19.279918032786888,15.6,18,402.335
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,17.168978102189783,26.42865168539326,11.5,25,424.86576
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,12.124484536082475,18.09346153846154,16.5,17,424.86576
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,24.501562500000002,36.18692307692308,8.2,34,304.16526
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,20.453478260869566,29.77405063291139,9.9,29,366.92952
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,20.277155172413796,31.362000000000002,9.8,29,362.1015
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,19.123170731707315,27.036206896551725,10.7,26,395.89764
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,24.501562500000002,36.18692307692308,8.2,34,304.16526
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,20.453478260869566,29.77405063291139,9.9,29,366.92952
BUICK,VERANO,COMPACT,2.0,4,M6,Z,20.277155172413796,31.362000000000002,9.8,29,362.1015
BUICK,VERANO,COMPACT,2.4,4,AS6,X,20.815486725663717,31.78581081081081,9.5,30,350.83612
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,20.815486725663717,31.362000000000002,9.6,29,355.66414
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,19.43925619834711,29.77405063291139,10.2,28,378.1949
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,22.40142857142857,32.66875,9.0,31,333.13338
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,18.376171875,27.67235294117647,10.9,26,403.94434
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,19.933474576271184,29.03888888888889,10.1,28,373.36688
