Type,Fuel Consumption Comb (mpg),CO2 Emissions(g/m),Car Technology
COMPACT,37,284.85318,TV
COMPACT,35,296.11856,TV
COMPACT,32,325.08668,TV
COMPACT,33,315.43064,TV
MID-SIZE,28,378.1949,TV
MID-SIZE,26,399.11632,TV
COMPACT,38,276.80648,TV
COMPACT,34,304.16526,TV
COMPACT,25,426.4751,TV
COMPACT,24,432.91246,TV
COMPACT,23,455.44322,TV
COMPACT,25,410.3817,TV
COMPACT,24,429.69378,TV
MID-SIZE,26,407.16302,TV
MID-SIZE,23,455.44322,TV
MID-SIZE,24,429.69378,TV
MID-SIZE,22,473.14596,TV
MID-SIZE,37,281.6345,TV
SUV,24,436.13114,TV
SUV,27,392.67896,TV
SUV,26,407.16302,TV
SUV,33,315.43064,TV
SUV,22,473.14596,TV
SUV,19,537.51956,TV
SUV,19,555.2223,TV
TWO-SEATER,27,381.41358,TV
TWO-SEATER,27,392.67896,TV
TWO-SEATER,22,473.14596,TV
MID-SIZE,27,389.46028,TV
MID-SIZE,23,452.22454,TV
MID-SIZE,21,492.45804,TV
MID-SIZE,16,466.7086,TV
MID-SIZE,21,492.45804,TV
FULL-SIZE,23,458.6619,TV
FULL-SIZE,21,492.45804,TV
FULL-SIZE,16,450.6152,TV
FULL-SIZE,23,458.6619,TV
FULL-SIZE,21,492.45804,TV
FULL-SIZE,16,450.6152,TV
FULL-SIZE,21,492.45804,TV
FULL-SIZE,21,492.45804,TV
COMPACT,22,484.41134,TV
COMPACT,22,466.7086,TV
COMPACT,21,506.9421,TV
COMPACT,21,498.8954,TV
COMPACT,21,506.9421,TV
COMPACT,21,498.8954,TV
SUV,30,350.83612,TV
SUV,27,389.46028,TV
SUV,28,370.1482,TV
SUV,26,399.11632,TV
SUV,28,373.36688,TV
SUV,26,407.16302,TV
SUV,26,403.94434,TV
SUV,24,429.69378,TV
SUV,29,366.92952,TV
SUV,29,362.1015,TV
SUV,31,336.35206,TV
SUV,29,362.1015,TV
SUV,30,347.61744,TV
SUV,28,378.1949,TV
SUV,30,347.61744,TV
SUV,25,410.3817,TV
SUV,19,547.1756,TV
SUV,29,429.69378,TV
SUV,23,447.39652,TV
SUV,18,402.335,TV
SUV,18,584.19042,TV
SUV,29,366.92952,TV
SUV,29,362.1015,TV
SUV,31,336.35206,TV
SUV,29,362.1015,TV
SUV,30,347.61744,TV
SUV,28,378.1949,TV
SUV,30,347.61744,TV
SUV,25,410.3817,TV
SUV,22,473.14596,TV
SUV,22,473.14596,TV
SUV,21,495.67672,TV
SUV,21,495.67672,TV
FULL-SIZE,26,403.94434,TV
MID-SIZE,34,307.38394,TV
MID-SIZE,35,296.11856,TV
MID-SIZE,34,310.60262,TV
MID-SIZE,34,310.60262,TV
FULL-SIZE,29,358.88282,TV
FULL-SIZE,29,362.1015,TV
FULL-SIZE,34,310.60262,TV
FULL-SIZE,33,315.43064,TV
COMPACT,30,347.61744,TV
COMPACT,29,355.66414,TV
COMPACT,34,310.60262,TV
COMPACT,33,318.64932,TV
MID-SIZE,29,366.92952,TV
MID-SIZE,32,321.868,TV
MID-SIZE,46,230.13562,TV
MID-SIZE,44,236.57298,TV
COMPACT,37,281.6345,TV
COMPACT,37,284.85318,TV
COMPACT,37,281.6345,TV
SUV,31,341.18008,TV
SUV,30,344.39876,TV
VAN,24,444.17784,TV
SUV,27,381.41358,TV
SUV,25,421.64708,TV
